SMI,Natoms,atoms,coords(Ang),S1_SCSPBEQIDH(eV),T1_SCSPBEQIDH(eV),f01_SCSPBEQIDH(au),S1_ADC2(eV),T1_ADC2(eV),f01_ADC2(au)
'CC(C)(F)CCO',18,"['C','C','C','F','C','C','O','H','H','H','H','H','H','H','H','H','H','H']","[[-1.957966,-1.0108,-0.465334],[-0.898088,-0.027611,-0.003133],[-1.172779,1.375175,-0.516583],[-0.987098,0.029883,1.403123],[0.501645,-0.532152,-0.339848],[1.641638,0.383191,0.086269],[2.906408,-0.198109,-0.161176],[-2.943434,-0.685507,-0.130581],[-1.761705,-2.003535,-0.058785],[-1.965445,-1.076392,-1.554407],[-2.198311,1.664689,-0.285849],[-1.035168,1.416298,-1.598423],[-0.501713,2.097972,-0.053618],[0.567257,-0.706736,-1.416823],[0.625575,-1.504116,0.148763],[1.529716,0.65344,1.142031],[1.62999,1.30658,-0.493502],[2.99916,-0.973582,0.394262]]",7.660,7.301,0.003470673,7.331761,7.000365,0.006750
'CC(C)(F)CCF',17,"['C','C','C','F','C','C','F','H','H','H','H','H','H','H','H','H','H']","[[1.155655,1.35177,-0.58681],[0.885689,-0.024554,-0.002482],[1.948678,-1.026282,-0.414018],[0.970139,0.105445,1.397634],[-0.510546,-0.554906,-0.316706],[-1.639403,0.364814,0.097987],[-2.850197,-0.280228,-0.107577],[2.180097,1.655458,-0.370511],[0.483907,2.096799,-0.160991],[1.019055,1.338111,-1.66942],[2.932837,-0.677984,-0.099565],[1.954328,-1.150401,-1.497979],[1.75788,-1.996135,0.046219],[-0.637504,-1.509191,0.199182],[-0.580017,-0.75199,-1.389305],[-1.659361,1.283059,-0.492922],[-1.571131,0.620265,1.156949]]",9.643,9.470,0.007955569,9.338138,9.159630,0.012765
'CCCC(C)(F)F',17,"['C','C','C','C','C','F','F','H','H','H','H','H','H','H','H','H','H']","[[1.826224,2.345555,0.0],[1.381467,0.889019,0.0],[-0.136926,0.760106,0.0],[-0.64225,-0.668821,0.0],[-2.14322,-0.818887,0.0],[-0.136926,-1.328156,-1.09229],[-0.136926,-1.328156,1.09229],[2.914085,2.423975,0.0],[1.454252,2.872055,0.882138],[1.454252,2.872055,-0.882138],[1.786489,0.378191,0.875499],[1.786489,0.378191,-0.875499],[-0.557676,1.256775,-0.878563],[-0.557676,1.256775,0.878563],[-2.563714,-0.347832,-0.887631],[-2.563714,-0.347832,0.887631],[-2.399895,-1.877385,0.0]]",9.892,9.698,0.007776807,9.613081,9.467410,0.011341
'CC(F)(F)CCN',16,"['C','C','F','F','C','C','N','H','H','H','H','H','H','H','H','H']","[[2.059502,0.977062,-0.121752],[0.91078,0.007762,0.001835],[1.032999,-0.944264,-0.97875],[1.037405,-0.671733,1.188813],[-0.467345,0.631233,-0.073956],[-1.610574,-0.371422,-0.003883],[-2.882883,0.337407,-0.088442],[2.999853,0.432664,-0.0465],[2.008431,1.717264,0.675816],[2.014092,1.485208,-1.084053],[-0.541361,1.197355,-1.004213],[-0.547009,1.348546,0.747774],[-1.50507,-0.981927,0.900867],[-1.543084,-1.047928,-0.856816],[-3.044434,0.879797,0.750516],[-3.649049,-0.316653,-0.168335]]",6.919,6.583,0.012787952,6.725225,6.399629,0.014162
'CC(F)(F)CCO',15,"['C','C','F','F','C','C','O','H','H','H','H','H','H','H','H']","[[-2.130753,-0.781763,0.0],[-0.630117,-0.636609,0.0],[-0.124588,-1.297373,1.092084],[-0.124588,-1.297373,-1.092084],[-0.124588,0.790503,0.0],[1.387544,0.907257,0.0],[1.691181,2.289945,0.0],[-2.389296,-1.839767,0.0],[-2.549411,-0.309296,-0.887588],[-2.549411,-0.309296,0.887588],[-0.525894,1.296033,0.880368],[-0.525894,1.296033,-0.880368],[1.798984,0.41374,-0.886493],[1.798984,0.41374,0.886493],[2.642565,2.395643,0.0]]",7.664,7.283,0.000098477,7.341603,6.991104,0.001162
'CC(F)(F)CCF',14,"['C','C','F','F','C','C','F','H','H','H','H','H','H','H']","[[-2.125294,-0.769768,0.0],[-0.625292,-0.625131,0.0],[-0.116971,-1.281633,1.092104],[-0.116971,-1.281633,-1.092104],[-0.116971,0.802933,0.0],[1.395846,0.900234,0.0],[1.753847,2.239012,0.0],[-2.382759,-1.827969,0.0],[-2.54419,-0.297968,-0.887795],[-2.54419,-0.297968,0.887795],[-0.514297,1.308167,0.881997],[-0.514297,1.308167,-0.881997],[1.825425,0.438121,-0.889703],[1.825425,0.438121,0.889703]]",10.117,9.773,0.001623234,9.841305,9.586834,0.004676
'CCCC(F)(F)F',14,"['C','C','C','C','F','F','F','H','H','H','H','H','H','H']","[[-2.939676,0.189422,-0.0],[-1.553444,-0.440745,0.0],[-0.455383,0.616496,-0.0],[0.938904,0.043264,0.0],[1.172435,-0.721354,-1.078839],[1.865907,1.014028,-0.0],[1.172435,-0.721353,1.07884],[-3.716027,-0.576132,-0.0],[-3.088155,0.815834,-0.882299],[-3.088155,0.815834,0.882299],[-1.438476,-1.08175,-0.876347],[-1.438477,-1.08175,0.876347],[-0.535052,1.257727,0.880314],[-0.535052,1.257727,-0.880315]]",10.235,9.829,0.008834132,10.237963,9.787719,0.008522
'NCCC(F)(F)F',13,"['N','C','C','C','F','F','F','H','H','H','H','H','H']","[[2.863248,0.242391,-0.100112],[1.570858,-0.413586,0.041939],[0.463655,0.620024,-0.120535],[-0.922786,0.041342,-0.005964],[-1.144847,-0.510924,1.198927],[-1.860869,0.983369,-0.182709],[-1.148686,-0.915529,-0.920524],[3.607557,-0.43956,-0.139133],[3.05062,0.843363,0.691943],[1.44269,-0.938801,0.996685],[1.480868,-1.159159,-0.749577],[0.546549,1.101317,-1.095259],[0.548245,1.39717,0.642242]]",6.997,6.658,0.012190958,6.809173,6.479519,0.013435
'OCCC(F)(F)F',12,"['O','C','C','C','F','F','F','H','H','H','H','H']","[[-1.585609,2.328706,0.0],[-1.333144,0.939363,0.0],[0.175794,0.774758,0.0],[0.619275,-0.665026,0.0],[0.175794,-1.331579,1.078758],[0.175794,-1.331579,-1.078758],[1.95547,-0.761445,0.0],[-2.532209,2.471949,0.0],[-1.760315,0.458985,-0.887006],[-1.760315,0.458985,0.887006],[0.601322,1.253643,0.882403],[0.601322,1.253643,-0.882403]]",7.756,7.367,0.000077202,7.439628,7.082218,0.001054
'FCCC(F)(F)F',11,"['F','C','C','C','F','F','F','H','H','H','H']","[[1.648312,2.282013,0.0],[1.34174,0.935009,0.0],[-0.168617,0.786608,0.0],[-0.614582,-0.654438,0.0],[-0.168617,-1.317068,1.078934],[-1.949093,-0.7487,0.0],[-0.168617,-1.317068,-1.078934],[1.7865,0.487148,0.890242],[1.7865,0.487148,-0.890242],[-0.591049,1.265012,-0.883954],[-0.591049,1.265012,0.883954]]",10.346,9.803,0.024401983,10.097279,9.633206,0.010856
'CNCC(C)(C)C',22,"['C','N','C','C','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.88859,-0.198677,-0.021035],[1.563053,0.370209,0.115373],[0.510658,-0.547843,-0.27535],[-0.904692,-0.021462,0.003084],[-1.098557,0.194098,1.504665],[-1.14026,1.295068,-0.742567],[-1.90203,-1.067282,-0.498946],[3.640123,0.555137,0.216569],[3.101001,-0.594163,-1.027337],[3.007359,-1.020964,0.68837],[1.501772,1.213123,-0.438655],[0.653672,-1.472546,0.294254],[0.580231,-0.827189,-1.342302],[-0.356547,0.891497,1.893738],[-0.992639,-0.747946,2.048454],[-2.095189,0.591393,1.711786],[-0.511236,2.097504,-0.351007],[-2.178279,1.616431,-0.632367],[-0.936438,1.185171,-1.811387],[-1.743604,-2.029256,-0.005184],[-1.806236,-1.221341,-1.576671],[-2.927611,-0.751727,-0.294976]]",6.599,6.351,0.004136913,6.325375,6.085847,0.005070
'CNCC(C)(C)N',21,"['C','N','C','C','C','C','N','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.869775,-0.206424,-0.063621],[1.544433,0.347061,0.134351],[0.487983,-0.472689,-0.428692],[-0.912279,-0.016888,0.022358],[-1.17904,1.416469,-0.438922],[-1.951049,-0.953621,-0.584454],[-1.053956,-0.051601,1.478464],[3.619255,0.484579,0.324006],[3.108314,-0.420317,-1.117069],[2.960851,-1.141914,0.492848],[1.505508,1.273824,-0.26701],[0.641155,-1.49721,-0.073083],[0.527667,-0.511896,-1.530913],[-1.029345,1.518526,-1.51669],[-0.521261,2.123094,0.071954],[-2.204473,1.697898,-0.199131],[-1.92751,-0.912919,-1.674979],[-2.949606,-0.672956,-0.247423],[-1.767376,-1.988609,-0.282582],[-0.238809,0.390992,1.889584],[-1.050044,-1.012402,1.800765]]",6.668,6.417,0.004083700,6.396191,6.154275,0.004817
'CNCC(C)(C)O',20,"['C','N','C','C','C','C','O','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.845337,-0.20837,-0.052818],[1.517192,0.360829,0.083325],[0.464667,-0.456792,-0.496959],[-0.910802,-0.02666,0.029232],[-1.277769,1.375382,-0.462029],[-1.96802,-1.031517,-0.397525],[-0.866472,-0.041189,1.446019],[3.5833,0.479053,0.361762],[3.124592,-0.430738,-1.093105],[2.90073,-1.139383,0.514473],[1.502233,1.283861,-0.327994],[0.636814,-1.487918,-0.177167],[0.468661,-0.449605,-1.597623],[-1.30632,1.420697,-1.553406],[-0.563527,2.117826,-0.099616],[-2.259384,1.652835,-0.076821],[-2.051263,-1.071882,-1.485443],[-2.938135,-0.748213,0.012571],[-1.717529,-2.025693,-0.02522],[0.010787,0.290607,1.676764]]",6.827,6.555,0.002579810,6.553736,6.295280,0.003340
'CNCC(C)(C)F',19,"['C','N','C','C','C','C','F','H','H','H','H','H','H','H','H','H','H','H','H']","[[-2.867193,-0.163379,-0.122071],[-1.534914,0.352172,0.115651],[-0.493626,-0.562766,-0.294876],[0.90003,-0.015102,-0.012113],[1.967753,-1.032875,-0.362672],[1.148982,1.329728,-0.66542],[0.970285,0.185546,1.385036],[-3.607077,0.537949,0.264476],[-3.050236,-1.148177,0.336548],[-3.034792,-0.263246,-1.197258],[-1.413825,0.565252,1.096687],[-0.582394,-0.733235,-1.372701],[-0.578385,-1.548706,0.192895],[1.958,-1.238593,-1.434261],[1.798348,-1.96732,0.173428],[2.9527,-0.650597,-0.09376],[1.130083,1.225426,-1.751618],[2.126528,1.71203,-0.369864],[0.377206,2.040459,-0.376551]]",6.888,6.651,0.005347564,6.615290,6.385511,0.006870
'CNCC(C)(F)F',16,"['C','N','C','C','C','F','F','H','H','H','H','H','H','H','H','H']","[[-2.84971,-0.02096,-0.138498],[-1.496428,0.315407,0.259575],[-0.496595,-0.496744,-0.395241],[0.905358,-0.046855,-0.025314],[1.26781,1.366042,-0.394284],[1.063816,-0.209829,1.33092],[1.788491,-0.913386,-0.608824],[-3.557399,0.582041,0.430366],[-3.102937,-1.082277,0.005854],[-2.988057,0.213753,-1.196226],[-1.397379,0.221779,1.26142],[-0.605996,-0.391813,-1.477533],[-0.568707,-1.569854,-0.159854],[0.559264,2.053785,0.062391],[1.227527,1.482723,-1.476712],[2.276732,1.582047,-0.045566]]",7.007,6.741,0.003738244,6.758982,6.502773,0.004482
'CNCC(F)(F)F',13,"['C','N','C','C','F','F','F','H','H','H','H','H','H']","[[-2.835026,0.137889,0.034038],[-1.488138,-0.398292,0.06839],[-0.479218,0.59644,-0.189419],[0.911669,0.032378,0.007879],[1.124417,-1.034181,-0.783495],[1.837145,0.95082,-0.307716],[1.141601,-0.353161,1.263038],[-3.549541,-0.67082,0.184458],[-3.085106,0.65208,-0.906465],[-2.96441,0.85118,0.850773],[-1.396727,-1.162158,-0.586584],[-0.591429,1.419169,0.519939],[-0.508838,1.027047,-1.202296]]",7.034,6.745,0.005596942,6.797748,6.523080,0.006814
'COCC(C)(C)C',21,"['C','O','C','C','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.800613,0.156343,-0.0],[1.501702,-0.363511,1e-06],[0.514234,0.634597,-2e-06],[-0.88007,0.011031,-0.0],[-1.064495,-0.847069,-1.252994],[-1.064494,-0.847064,1.252997],[-1.899924,1.15114,-2e-06],[3.493041,-0.684425,2e-06],[2.987723,0.772031,0.890195],[2.987723,0.772027,-0.890198],[0.631044,1.276711,-0.887449],[0.631044,1.276715,0.887443],[-0.334625,-1.656205,-1.281961],[-0.942769,-0.247196,-2.158581],[-2.065019,-1.285162,-1.271782],[-0.334624,-1.6562,1.281967],[-2.065018,-1.285158,1.271787],[-0.942768,-0.247187,2.158582],[-1.789105,1.78301,-0.884766],[-1.789104,1.783014,0.88476],[-2.916344,0.752237,-1e-06]]",7.749,7.546,0.057556661,7.303114,7.090729,0.036497
'COCC(C)(C)N',20,"['C','O','C','C','C','C','N','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.788597,-0.146118,-0.094189],[1.488823,0.306261,0.16167],[0.497753,-0.55591,-0.333928],[-0.888572,-0.002562,0.015962],[-1.089195,1.356541,-0.651108],[-1.940267,-0.991842,-0.474887],[-1.059937,0.171171,1.458332],[3.480682,0.581131,0.328217],[2.978366,-0.234249,-1.172047],[2.971837,-1.124573,0.369724],[0.613554,-1.556595,0.112235],[0.600962,-0.664071,-1.424466],[-0.992569,1.275008,-1.735833],[-0.345781,2.072239,-0.298459],[-2.081282,1.740864,-0.413427],[-1.87324,-1.134917,-1.555062],[-2.936401,-0.620101,-0.234005],[-1.816905,-1.967159,0.003968],[-0.308205,0.747318,1.817675],[-0.991937,-0.723833,1.928694]]",7.045,6.775,0.028888998,6.802663,6.539070,0.033704
'COCC(C)(C)O',19,"['C','O','C','C','C','C','O','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.776073,-0.148077,-0.088712],[1.470622,0.315481,0.123987],[0.484335,-0.551763,-0.379848],[-0.88632,-0.011593,0.021346],[-1.139205,1.353743,-0.61532],[-1.963915,-1.006571,-0.375254],[-0.93605,0.093321,1.437072],[3.459535,0.583902,0.339008],[2.991923,-0.254371,-1.159434],[2.939785,-1.118407,0.397196],[0.613961,-1.55597,0.046902],[0.561766,-0.627587,-1.473787],[-1.149579,1.283011,-1.70519],[-0.361169,2.06129,-0.32697],[-2.103161,1.738596,-0.281285],[-1.981497,-1.151752,-1.456809],[-2.939837,-0.63566,-0.060792],[-1.792436,-1.968753,0.109028],[-0.141673,0.560849,1.710388]]",7.906,7.666,0.032313187,7.482692,7.252970,0.025855
'COCC(C)(C)F',18,"['C','O','C','C','C','C','F','H','H','H','H','H','H','H','H','H','H','H']","[[1.722892,2.190228,-0.0],[1.240678,0.873935,-0.0],[-0.159189,0.807529,-0.0],[-0.592847,-0.655047,0.0],[-0.159189,-1.374405,-1.260486],[-0.159189,-1.374405,1.260486],[-1.997118,-0.607637,0.0],[2.81059,2.140982,-0.0],[1.38942,2.738477,0.890502],[1.38942,2.738477,-0.890502],[-0.574813,1.30322,-0.888656],[-0.574813,1.30322,0.888656],[0.928583,-1.388733,-1.324204],[-0.553698,-0.866002,-2.141172],[-0.527898,-2.400528,-1.25357],[0.928583,-1.388733,1.324204],[-0.527898,-2.400528,1.25357],[-0.553698,-0.866002,2.141172]]",7.905,7.645,0.047563771,7.491342,7.246550,0.032064
'COCC(C)(F)F',15,"['C','O','C','C','C','F','F','H','H','H','H','H','H','H','H']","[[2.329362,-0.092726,-0.427527],[1.536702,0.376254,0.640979],[0.385336,-0.368515,0.903983],[-0.789567,-0.042646,-0.015051],[-1.11172,1.418934,-0.161882],[-0.559212,-0.578078,-1.25704],[-1.875786,-0.712319,0.479874],[3.265406,0.462061,-0.389734],[1.852984,0.069963,-1.398078],[2.542814,-1.162438,-0.317822],[0.076377,-0.129582,1.922776],[0.571697,-1.448076,0.83973],[-0.249525,1.945136,-0.5671],[-1.356271,1.842161,0.811578],[-1.962584,1.534036,-0.831827]]",8.219,7.879,0.019163841,7.861499,7.586380,0.017013
'COCC(F)(F)F',12,"['C','O','C','C','F','F','F','H','H','H','H','H']","[[2.343449,0.431692,-0.08246],[1.524218,-0.658636,0.284777],[0.373768,-0.828568,-0.473813],[-0.800838,0.023259,-0.00645],[-1.081913,-0.173382,1.281798],[-0.581294,1.337012,-0.171586],[-1.893763,-0.289923,-0.71848],[3.274818,0.318933,0.468929],[1.890031,1.392296,0.173195],[2.560235,0.413996,-1.157053],[0.06107,-1.869245,-0.376015],[0.53457,-0.608569,-1.536531]]",8.365,7.963,0.012902968,8.027963,7.705044,0.015811
'CCNC(C)(C)C',22,"['C','C','N','C','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[-2.913944,0.274728,-0.051656],[-1.573906,-0.431175,0.061147],[-0.491093,0.520687,-0.111494],[0.88865,0.030611,-0.009877],[1.185541,-0.662485,1.328377],[1.169138,-0.934458,-1.162305],[1.790051,1.256117,-0.152267],[-3.73617,-0.435326,0.048649],[-3.000548,0.778365,-1.01518],[-3.026835,1.026346,0.734194],[-1.501493,-1.186859,-0.724166],[-1.531663,-0.96896,1.020741],[-0.614973,1.284308,0.542401],[0.590275,-1.568626,1.452269],[0.9664,0.00624,2.164792],[2.237586,-0.948285,1.391569],[0.595278,-1.857626,-1.065992],[2.226086,-1.206556,-1.177681],[0.914086,-0.467736,-2.11484],[1.60977,1.967456,0.658684],[1.593825,1.761447,-1.098783],[2.842845,0.970968,-0.116713]]",6.538,6.348,0.006868710,6.210276,6.028091,0.007728
'CCOC(C)(C)C',21,"['C','C','O','C','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[2.833528,0.307933,-0.016481],[1.522279,-0.445873,0.008589],[0.482199,0.493372,-0.112714],[-0.863282,0.03045,-0.001035],[-1.700348,1.266506,-0.303657],[-1.161108,-1.067143,-1.022471],[-1.152811,-0.461245,1.417919],[3.671579,-0.386843,0.060992],[2.885989,1.011383,0.815211],[2.932113,0.868802,-0.946613],[1.436583,-1.011849,0.944601],[1.493152,-1.168731,-0.816318],[-1.487674,1.627013,-1.310862],[-1.461261,2.06252,0.40262],[-2.76515,1.040337,-0.229288],[-0.873028,-0.740697,-2.023316],[-2.228843,-1.291735,-1.027553],[-0.631247,-1.99266,-0.791969],[-0.881746,0.307207,2.143459],[-0.601993,-1.372768,1.654396],[-2.215611,-0.682727,1.529173]]",7.731,7.698,0.000274357,7.187958,7.092195,0.000595
'CC(C)(C)CC=C',21,"['C','C','C','C','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[-0.607177,-0.964276,1.207165],[-0.797262,-0.02328,0.016765],[-1.972963,-0.511714,-0.832271],[-1.09675,1.390538,0.52087],[0.467949,-0.030369,-0.872016],[1.716452,0.472082,-0.217209],[2.780346,-0.268202,0.054068],[-1.504636,-0.982499,1.829904],[0.232621,-0.651361,1.82987],[-0.410941,-1.985263,0.869965],[-2.891138,-0.5457,-0.241291],[-1.786131,-1.516024,-1.220228],[-2.14549,0.151461,-1.683578],[-2.038191,1.40633,1.074702],[-1.185689,2.094287,-0.310844],[-0.315282,1.753332,1.190968],[0.26138,0.584483,-1.755508],[0.635007,-1.051116,-1.229265],[1.735068,1.52634,0.045786],[2.810713,-1.324471,-0.192367],[3.65914,0.15153,0.527647]]",7.886,4.527,0.627739951,7.762956,4.704480,0.473268
'CC(C)(C)CC=O',19,"['C','C','C','C','C','C','O','H','H','H','H','H','H','H','H','H','H','H','H']","[[0.582283,-1.03643,1.138885],[0.76408,-0.01935,0.009912],[1.050836,1.364606,0.600391],[1.942692,-0.441477,-0.869856],[-0.501844,0.008039,-0.879105],[-1.754339,0.412571,-0.155019],[-2.681815,-0.319572,0.059416],[1.487278,-1.094717,1.747474],[0.377089,-2.032078,0.740116],[-0.246596,-0.765769,1.796244],[1.995523,1.350684,1.148083],[0.274407,1.681346,1.29918],[1.130909,2.120667,-0.184535],[2.860878,-0.495251,-0.280642],[2.104479,0.272531,-1.680862],[1.76941,-1.424311,-1.313594],[-0.667959,-0.977919,-1.317294],[-0.341121,0.726715,-1.690968],[-1.792029,1.466923,0.190222]]",4.263,3.755,0.000033644,4.177306,3.750738,0.000039
'CC(C)(C)CC#N',18,"['C','C','C','C','C','C','N','H','H','H','H','H','H','H','H','H','H','H']","[[-1.988413,-0.785694,-0.0],[-0.691435,0.024927,1e-06],[-0.62635,0.898932,-1.252922],[-0.626352,0.898931,1.252925],[0.482621,-0.980803,1e-06],[1.796027,-0.345005,-3e-06],[2.819686,0.17301,-3e-06],[-2.852343,-0.11874,-0.0],[-2.057402,-1.423014,0.88473],[-2.057401,-1.423013,-0.884731],[-1.468044,1.593692,-1.272702],[-0.670986,0.291184,-2.159827],[0.294499,1.484393,-1.281235],[-1.468044,1.593691,1.272705],[0.294498,1.484391,1.28124],[-0.670989,0.291182,2.15983],[0.420909,-1.626284,-0.879739],[0.420911,-1.626281,0.879743]]",8.291,6.534,0.000023172,8.608073,7.008811,0.000164
'CC(C)(N)CC=C',20,"['C','C','C','N','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H','H']","[[0.641376,-1.224366,0.933291],[0.80306,-0.03817,-0.0121],[1.112826,1.23102,0.790772],[1.876409,-0.368248,-0.954909],[-0.470051,0.146895,-0.863889],[-1.703529,0.513277,-0.100357],[-2.765763,-0.265748,0.034654],[1.554219,-1.376589,1.51526],[0.442638,-2.134822,0.366259],[-0.180793,-1.060462,1.630466],[2.060859,1.116217,1.321403],[0.34121,1.445737,1.532794],[1.198855,2.096593,0.128307],[2.737764,-0.549875,-0.453958],[2.054868,0.413597,-1.57417],[-0.634213,-0.777314,-1.421763],[-0.264829,0.932455,-1.601168],[-1.714042,1.494092,0.367732],[-2.803707,-1.251031,-0.417842],[-3.635207,0.051689,0.596815]]",6.908,4.524,0.013365940,6.669072,4.700610,0.024315
'CC(C)(O)CC=C',19,"['C','C','C','O','C','C','C','H','H','H','H','H','H','H','H','H','H','H','H']","[[-1.992125,-0.474438,-0.819814],[-0.801763,0.010612,0.003486],[-0.649297,1.524002,-0.113723],[-0.983776,-0.356989,1.370132],[0.47154,-0.717807,-0.448712],[1.700828,-0.335713,0.313315],[2.807341,0.144984,-0.232155],[-2.912889,0.008303,-0.481889],[-2.111378,-1.55334,-0.71225],[-1.861195,-0.24009,-1.878031],[-1.566733,2.025213,0.20694],[-0.45181,1.817382,-1.146629],[0.175127,1.875475,0.506226],[-1.743636,0.116602,1.713467],[0.62109,-0.535309,-1.515835],[0.290034,-1.789832,-0.321728],[1.649161,-0.475244,1.388525],[2.890745,0.30066,-1.302926],[3.672551,0.396258,0.368698]]",7.756,4.551,0.009670998,7.251594,4.731163,0.016068
'CC(C)(O)CC=O',17,"['C','C','C','O','C','C','O','H','H','H','H','H','H','H','H','H','H']","[[-1.967817,-0.637649,-0.699531],[-0.77499,0.002709,0.003735],[-0.654404,1.477106,-0.37483],[-0.916424,-0.131322,1.416402],[0.507149,-0.762034,-0.34694],[1.739285,-0.196426,0.307071],[2.736467,0.107296,-0.29031],[-2.890906,-0.119111,-0.427807],[-2.062735,-1.683966,-0.407106],[-1.86076,-0.584229,-1.78433],[-1.578993,2.007956,-0.133989],[-0.469676,1.592565,-1.444018],[0.163607,1.95311,0.167699],[-1.683899,0.371168,1.696486],[0.660181,-0.780092,-1.426271],[0.389452,-1.791306,0.008181],[1.678038,-0.076121,1.405393]]",4.288,3.777,0.000066441,4.207784,3.778104,0.000067
'CC(C)(O)CC#N',16,"['C','C','C','O','C','C','N','H','H','H','H','H','H','H','H','H']","[[-1.99857,-0.670913,-0.352913],[-0.689779,0.017988,0.026657],[-0.576541,1.38249,-0.643764],[-0.597396,0.143641,1.437133],[0.482207,-0.898633,-0.361309],[1.791377,-0.305276,-0.112794],[2.821969,0.167412,0.058589],[-2.845734,-0.060869,-0.033326],[-2.073879,-1.6418,0.138284],[-2.075779,-0.813509,-1.432437],[-1.426542,2.008842,-0.361974],[-0.580787,1.287866,-1.731037],[0.341847,1.885449,-0.340425],[-1.192057,0.837592,1.727322],[0.41818,-1.153919,-1.420598],[0.407977,-1.824602,0.211746]]",7.809,6.525,0.009128020,7.429277,7.005068,0.014411
'CC(C)(F)CC=C',18,"['C','C','C','F','C','C','C','H','H','H','H','H','H','H','H','H','H','H']","[[-2.022028,-0.531828,-0.723605],[-0.803253,0.020089,-0.007868],[-0.66216,1.518075,-0.197274],[-1.004554,-0.20384,1.367953],[0.4618,-0.748185,-0.402137],[1.694942,-0.314158,0.325699],[2.801246,0.120082,-0.257016],[-2.922924,-0.022681,-0.380003],[-2.128747,-1.599371,-0.527712],[-1.929766,-0.383163,-1.800649],[-1.574227,2.023905,0.120717],[-0.483956,1.74903,-1.24904],[0.17591,1.902175,0.383269],[0.606872,-0.646224,-1.480757],[0.274258,-1.807078,-0.198097],[1.649369,-0.373558,1.408905],[2.882318,0.194691,-1.336493],[3.668594,0.412398,0.321493]]",8.016,4.546,0.643797996,7.895335,4.726304,0.494234
'CC(C)(F)CC=O',16,"['C','C','C','F','C','C','O','H','H','H','H','H','H','H','H','H']","[[-1.993381,-0.635759,-0.645006],[-0.778516,0.010045,-0.007344],[-0.671151,1.485554,-0.346122],[-0.946262,-0.083918,1.386594],[0.499466,-0.75915,-0.349921],[1.734627,-0.188222,0.29588],[2.737295,0.088752,-0.303057],[-2.899059,-0.113734,-0.335192],[-2.072626,-1.68091,-0.344553],[-1.920958,-0.589728,-1.732499],[-1.592706,2.000464,-0.074563],[-0.499438,1.615476,-1.415567],[0.155965,1.950982,0.191324],[0.648051,-0.785963,-1.429972],[0.381383,-1.786662,0.00975],[1.671112,-0.039478,1.391456]]",4.293,3.778,0.000065172,4.217100,3.783065,0.000070
'CC(C)(F)CC#N',15,"['C','C','C','F','C','C','N','H','H','H','H','H','H','H','H']","[[-2.011813,-0.629983,-0.351202],[-0.692557,0.024552,0.015122],[-0.585012,1.444012,-0.505451],[-0.629068,0.079806,1.409781],[0.476046,-0.863266,-0.439313],[1.787599,-0.299168,-0.142189],[2.818606,0.151593,0.077568],[-2.836537,-0.039801,0.047305],[-2.07199,-1.635902,0.06572],[-2.122429,-0.691244,-1.434758],[-1.426046,2.033561,-0.141224],[-0.602098,1.451367,-1.596517],[0.341022,1.908607,-0.167523],[0.408806,-1.027839,-1.516602],[0.395059,-1.835036,0.050787]]",8.275,6.510,0.000060832,8.603536,6.991545,0.000153
'CC(F)(F)CC=C',15,"['C','C','F','F','C','C','C','H','H','H','H','H','H','H','H']","[[0.799903,1.493408,0.162838],[0.806334,-0.001213,-0.025168],[1.843639,-0.342132,-0.852166],[1.079693,-0.600413,1.17782],[-0.465919,-0.609373,-0.596422],[-1.669806,-0.384113,0.264049],[-2.760586,0.254762,-0.127126],[1.763135,1.809382,0.560696],[0.008643,1.777716,0.85457],[0.626081,1.984627,-0.794038],[-0.273297,-1.679879,-0.706759],[-0.62044,-0.192802,-1.593237],[-1.616399,-0.786968,1.270861],[-2.849009,0.668226,-1.126143],[-3.608265,0.38178,0.534138]]",8.076,4.543,0.597202876,7.957884,4.723300,0.455128
'CC(F)(F)CC=O',13,"['C','C','F','F','C','C','O','H','H','H','H','H','H']","[[-2.018918,0.864262,-0.073024],[-0.790621,-0.003796,0.00674],[-0.678384,-0.507211,1.275543],[-0.957529,-1.092813,-0.809943],[0.512946,0.680804,-0.357322],[1.728718,-0.200186,-0.168316],[2.800025,0.232364,0.148129],[-2.892527,0.273081,0.197907],[-2.141734,1.243263,-1.086816],[-1.925472,1.70357,0.614704],[0.64139,1.591072,0.227792],[0.466183,0.962486,-1.413426],[1.582427,-1.27867,-0.364055]]",4.346,3.832,0.000064357,4.273940,3.840098,0.000060
