SMI,Natoms,atoms,coords(Ang),S1_SCSPBEQIDH(eV),T1_SCSPBEQIDH(eV),f01_SCSPBEQIDH(au),S1_ADC2(eV),T1_ADC2(eV),f01_ADC2(au)
'CC=C',9,"['C','C','C','H','H','H','H','H','H']","[[-1.131573,-0.504386,0.0],[0.0,0.472223,0.0],[1.284136,0.150792,0.0],[-1.767446,-0.362775,0.877699],[-0.770123,-1.533458,0.0],[-1.767446,-0.362775,-0.877699],[-0.276551,1.523465,0.0],[1.608435,-0.884556,0.0],[2.057749,0.908326,0.0]]",8.169,4.559,0.618602001,8.083283,4.738448,0.476698
'CC=O',7,"['C','C','O','H','H','H','H']","[[0.926252,-0.719055,0.0],[0.0,0.459276,0.0],[-1.196998,0.387135,0.0],[1.575966,-0.668677,0.877698],[1.575966,-0.668677,-0.877698],[0.366734,-1.652236,0.0],[0.499812,1.451182,0.0]]",4.432,3.916,0.000044636,4.376037,3.939019,0.000046
'CC#N',6,"['C','C','N','H','H','H']","[[0.0,0.0,-1.173653],[0.0,0.0,0.280989],[0.0,0.0,1.427442],[0.0,1.024088,-1.545371],[-0.886886,-0.512044,-1.545371],[0.886886,-0.512044,-1.545371]]",8.384,6.562,0.000000000,8.755946,7.056643,0.000000
'NC=N',7,"['N','C','N','H','H','H','H']","[[1.111035,-0.177046,-0.052467],[-0.122009,0.419593,0.001774],[-1.267607,-0.121443,0.008098],[1.920558,0.367802,0.180104],[1.1807,-1.165617,0.115308],[-0.065701,1.508813,0.004046],[-1.207497,-1.139126,0.000481]]",6.637,5.145,0.012333910,6.596023,5.327657,0.012583
'NC=O',6,"['N','C','O','H','H','H']","[[-1.078471,-0.1569,1e-06],[0.161963,0.384944,2e-06],[1.18917,-0.245458,-1e-06],[-1.898427,0.419427,-4e-06],[-1.178124,-1.157073,-5e-06],[0.140706,1.489948,-7e-06]]",5.774,5.367,0.001479477,5.674681,5.341231,0.000803
'OC=O',5,"['O','C','O','H','H']","[[-1.023804,-0.438792,-0.0],[0.0,0.418952,0.0],[1.152985,0.109983,0.0],[-0.656942,-1.333012,-0.0],[-0.376499,1.44977,-0.0]]",5.969,5.534,0.001785299,5.899952,5.540909,0.000939
'FC=C',6,"['F','C','C','H','H','H']","[[-1.139724,-0.269725,0.0],[0.0,0.430281,-0.0],[1.180852,-0.14876,0.0],[-0.18045,1.498331,-0.0],[1.283634,-1.22517,0.0],[2.069222,0.465238,-0.0]]",8.382,4.647,0.526678752,8.108386,4.769400,0.388164
'NN=C',7,"['N','N','C','H','H','H','H']","[[1.106441,0.142513,-0.090982],[-0.080753,-0.51252,0.006066],[-1.148696,0.167456,0.008166],[1.854749,-0.409916,0.291533],[1.109677,1.100453,0.242713],[-2.089851,-0.366199,0.035249],[-1.162208,1.260974,-0.02408]]",6.104,4.118,0.004680383,6.044812,4.219744,0.100623
'ON=C',6,"['O','N','C','H','H','H']","[[-1.028621,-0.395177,-0.0],[0.0,0.526228,0.0],[1.132746,-0.030907,0.0],[-1.816572,0.151791,-0.0],[1.994262,0.623439,0.0],[1.254802,-1.111965,0.0]]",6.137,4.460,0.002717647,6.083347,4.500845,0.001979
'CC#C',7,"['C','C','C','H','H','H','H']","[[1.236673,3e-06,3e-06],[-0.218742,-6e-06,-5e-06],[-1.41578,4e-06,-1e-06],[1.622045,0.979039,0.288094],[1.62207,-0.240023,-0.991898],[1.622037,-0.739019,0.703815],[-2.479058,-5e-06,8e-06]]",7.177,5.604,0.000000001,7.465364,5.979023,0.000000
'C1CC1',9,"['C','C','C','H','H','H','H','H','H']","[[0.516845,0.69483,-0.0],[-0.860166,0.100195,0.0],[0.343308,-0.795021,-0.0],[0.866514,1.164858,0.909176],[0.866513,1.164859,-0.909176],[-1.442047,0.167964,-0.909177],[-1.442048,0.167965,0.909176],[0.575574,-1.332837,-0.909179],[0.575574,-1.332837,0.909179]]",9.120,8.851,0.006335463,9.011257,8.750678,0.007438
