Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
345	0.958639	-4.58837758	3.49633397	354.6119696	3.61004179	343.4425271	1	-1.06443	-0.03191075986	0.1	0.215145	0.952705
346	0.402984	-4.592473059	5.5893844	221.820828	5.72625362	216.5188547	1	-2.681952	-0.0804027754	0.16	0.238892	0.950769
347	0.844602	-4.609618324	4.0914206	303.0345683	4.25443829	291.4231659	1	-13.059701	-0.3915193882	0.5	0.207143	0.955079
348	0.963579	-4.490641059	4.30019347	288.3223474	4.40129921	281.6990657	2	-12.597675	-0.3776682184	0.5	0.18188	0.969001
349	0.456334	-4.539122725	5.66350793	218.9176551	5.66350793	218.9176551	1	-10.504781	-0.3149249306	0.5	0.252076	0.95093
350	0.373234	-4.25521233	4.06492256	305.009962	4.06492256	305.009962	1	-9.704367	-0.2909291592	0.5	0.411962	0.834548
351	0.862221	-4.397338063	3.45961041	358.3761547	3.56310422	347.9667725	1	-12.860201	-0.3855385378	0.46	0.253114	0.956146
352	0.486937	-4.330140602	4.85900803	255.1635782	4.93700934	251.1321713	1	-18.763002	-0.5624997896	0.5	0.228133	0.99735
353	0.555583	-4.439874154	4.89248754	253.4174825	4.89248754	253.4174825	1	-1.151341	-0.03451628211	0.09	0.249878	0.962087
354	0.824839	-4.229930859	2.11852012	585.2396037	2.29341173	540.6102442	1	-13.780019	-0.4131139456	0.5	0.254353	0.981583
355	0.698124	-4.483567674	5.2259004	237.249427	5.2259004	237.249427	2	-16.445503	-0.4930230235	0.5	0.180577	0.920111
356	0.346746	-4.470332302	4.62792077	267.9047324	4.82936549	256.7297667	2	-21.167376	-0.6345809986	0.5	0.221138	0.998068
357	0.40518	-4.246842006	3.55132738	349.1206928	3.66541615	338.2540548	4	-64.360311	-1.929470636	0	0.215606	0.975693
358	0.373916	-4.27957124	5.49961301	225.441658	5.69342289	217.7673957	1	-15.556386	-0.4663680072	0.5	0.208247	0.992579
359	0.459059	-4.458530489	4.45854729	278.0820287	4.45854729	278.0820287	2	-15.66196	-0.4695330312	0.5	0.056765	0.943236
360	0.565344	-4.268370806	4.49097031	276.074387	4.49097031	276.074387	1	-6.607567	-0.1980895726	0.5	0.239485	0.952276
361	0.548457	-4.247599846	3.33470774	371.7992616	3.33470774	371.7992616	4	-90.247812	-2.705557206	0	0.262601	0.933373
362	1.169931	-4.275862457	4.15534877	298.3725179	4.16199985	297.895704	2	-15.819928	-0.4742687855	0.04	0.207226	0.882878
363	0.904665	-4.354893283	4.31073705	287.6171432	4.41686392	280.7063785	1	-0.219374	-0.006576657021	0.01	0.253376	0.94387
364	0.81771	-4.31311989	4.46738205	277.5320896	4.57655836	270.9114094	1	-7.554836	-0.2264879394	0.5	0.243301	0.945335
365	0.949771	-4.181059056	3.7567497	330.0304717	3.84117056	322.7770952	1	-16.953224	-0.5082440929	0.5	0.249537	0.900481
366	0.777584	-4.353245861	4.83192122	256.5939756	4.83192122	256.5939756	1	-8.813876	-0.2642329514	0.5	0.245526	0.895701
